REG. NO.,ACC. NO.,NAME,NATIONALITY,FACULTY,DEPARTMENT,PROGRAM ID,PROGRAM,YEAR,SEMESTER,TOTAL REGISTRATIONS,STUDENT STATUS,REGISTRATION TYPE,RESIDENCE,ACCOMMODATION Type,CAMPUS,HALL,BLOCK,BED,MEALS STATUS,HIGH_SCHOOL,DISTRICT,SCHOOL_TIER,OWNERSHIP,SCHOLARSHIP TYPE,SCHOLARSHIP NAME,FEES,EXPECTED FEES(%) - RAW,EXPECTED FEES(%) - RANGE,TOTAL EXPECTED FEES (UGX),AMOUNT PAID (UGX),TUITION BALANCE (UGX),ACADEMIC OFFICER,ACCOMMODATION OFFICER,ACCOUNTS OFFICER,FINANCIAL AID OFFICER,RETAKE COURSES
J23B06/002,A10006,Nakuya Walakira,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,2,6,Finalist,Normal,R,Executive,Mukono,Gamma Hall,C,C-45,Not Subscribed,Arua Public Secondary School,Arua,Tier 2,Public/Mixed,,,65%,65,51–75%,4183000,2718950,1464050,Nakintu Balikuddembe,Shamim Nabawanuka,Paul Lwanga,Maria Kisembo,BOD0607
J23B06/008,A10090,Solomon Kiyingi,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,2,6,Finalist,Normal,R,Double Normal,Mukono,Delta Hall,C,C-05,Not Subscribed,Kyegegwa Secondary School,Kyegegwa,Tier 2,Public/Mixed,,,30%,30,26–50%,3533000,1059900,2473100,Zaituni Sabiiti,Mercy Kikomeko,Nakkazi Mugisha,Sheila Kalema,"BOD0601, BOD0602, BOD0605"
J23B06/010,A10109,Triza Muzira,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,2,6,Leave of Absence,Normal,R,Executive,Mukono,Beta Hall,B,B-31,Subscribed,Soroti Secondary School,Soroti,Tier 2,Public/Mixed,Merit Award,Global Vision Scholarship,70%,70,51–75%,4183000,2928100,1254900,Amina Oringa,Ruth Wanyama,Lloyd Pereza,Naggayi Amony,BOD0604
J24B06/002,A10012,Vincent Akello,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,1,5,Continuing,Late,NR,None,Mukono,,,,Not Applicable,St. Henry's College Kitovu,Masaka,Tier 1,Private/Faith-based,,,65%,65,51–75%,2683000,1743950,939050,Diana Kakooza,Oliver Sserugo,Moses Waiswa,Ian Oloya,BOD0401
J24B06/004,A10018,Robert Obua,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,1,5,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,Rakai Secondary School,Rakai,Tier 2,Public/Mixed,Innovation Scholarship,Future Leaders Grant,80%,80,76–100%,2683000,2146400,536600,Lawrence Olara,Timothy Nakisige,Joan Ladu,Lawrence Mirembe,BOD0201
J24B06/006,A10039,Sheila Nuwagaba,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,1,5,Continuing,Normal,R,Double Normal,Mukono,Alpha Hall,B,B-01,Subscribed,Gulu High School,Gulu,Tier 2,Private/Faith-based,,,30%,30,26–50%,3533000,1059900,2473100,Nandutu Nanyonjo,Namara Ouma,Naggayi Namutebi,Warren Magezi,BOD0301
J24B06/008,A10041,Akena Okello,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,1,5,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,St. Mary's Secondary School Kitende,Wakiso,Tier 1,Private/Faith-based,,,40%,40,26–50%,2683000,1073200,1609800,Annet Namaganda,Rebecca Nakiyingi,Amina Bataringaya,Deborah Arinaitwe,"BOD0401, BOD0405"
J24B06/010,A10060,Amina Namyalo,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,1,5,Continuing,Normal,R,Double Normal,Mukono,Beta Hall,D,D-51,Not Subscribed,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based,Sports Bursary,Global Vision Scholarship,100%,100,76–100%,3533000,3533000,0,Francis Twinamatsiko,Nakanwagi Ssekandi,Mercy Magezi,John Bashaija,"BOD0401, BOD0403, BOD0405"
J24B06/012,A10069,Noah Kigozi,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,1,5,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,Busoga College Mwiri,Jinja,Tier 1,Private/Faith-based,,,85%,85,76–100%,2683000,2280550,402450,Nancy Ikojo,Noah Tumusiime,Naava Ibanda,Ben Pereza,"BOD0304, BOD0305"
J24B06/014,A10079,Namara Bataringaya,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,2,2,4,Leave of Absence,Normal,R,Double Normal,Mukono,Alpha Hall,B,B-25,Subscribed,King's College Budo,Kampala,Tier 1,Private/Faith-based,,,40%,40,26–50%,3533000,1413200,2119800,Stephen Muwonge,Daniel Barasa,Joseph Nambooze,Nakintu Walakira,"BOD0403, BOD0404, BOD0405"
